Player,position,Age,Nation,club,mv_millions,Season,player_url,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Playing Time_MP,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Playing Time_Mn/MP,Playing Time_Min%,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,market_value
Abel Ruiz,Centre-Forward,18.0,ESP,FC Barcelona,3.0,2018/2019,https://www.transfermarkt.com/abel-ruiz/profil/spieler/340376,1.0,0,22.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.4,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.47,0.32,1.8,1.47,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,100.0,4.09,4.09,0.0,0.0,13.4,0.0,0.0,0.0,0.36,-0.4,-0.4,8.0,11.0,72.7,86.0,19.0,7.0,8.0,87.5,1.0,3.0,33.3,0.0,0.0,,0.0,0.1,0.1,-0.1,1.0,0.0,0.0,0.0,2.0,1.0,4.09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,1.0,2.0,4.0,9.0,3.0,15.0,2.0,2.0,100.0,0.0,0.0,11.0,125.0,106.0,4.0,0.0,2.0,0.0,0.0,12.0,3.0,22.0,0.6,0,,0.0,1,21.0,2,3.0,1.0,0.0,1.0,4.09,2.69,0.5,0.7,-0.2,-0.81,-1.62,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,€3.00m
Arthur Melo,Defensive Midfield,21.0,BRA,FC Barcelona,70.0,2018/2019,https://www.transfermarkt.com/arthur-melo/profil/spieler/362842,27.0,19,1430.0,15.9,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,1.1,1.4,16.0,120.0,21.0,0.0,0.06,0.06,0.0,0.06,0.02,0.07,0.09,0.02,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6.0,4.0,66.7,0.38,0.25,0.0,0.0,21.9,0.0,0.0,0.0,0.05,-0.3,-0.3,1200.0,1292.0,92.9,19847.0,4831.0,581.0,612.0,94.9,468.0,496.0,94.4,107.0,119.0,89.9,1.0,1.1,1.3,-0.1,14.0,138.0,6.0,0.0,120.0,30.0,1.89,25.0,2.0,0.0,0.0,3.0,0.0,2.0,0.13,1.0,0.0,0.0,0.0,1.0,0.0,15.0,10.0,5.0,6.0,4.0,6.0,13.0,46.2,7.0,8.0,0.0,8.0,9.0,24.0,9.0,1.0,1370.0,19.0,208.0,893.0,278.0,10.0,1370.0,17.0,10.0,58.8,7.0,41.2,1023.0,5235.0,2027.0,16.0,22.0,1.0,10.0,11.0,1198.0,21.0,53.0,41.8,19,67.0,0.0,8,20.0,3,2.33,32.0,15.0,17.0,1.07,-0.6,29.9,18.8,11.0,0.69,-0.19,0.0,11.0,40.0,0.0,4.0,9.0,10.0,0.0,0.0,0.0,109.0,3.0,7.0,30.0,€70.00m
Arturo Vidal,Central Midfield,31.0,CHI,FC Barcelona,15.0,2018/2019,https://www.transfermarkt.com/arturo-vidal/profil/spieler/37666,33.0,22,1929.0,21.4,3.0,7.0,10.0,3.0,0.0,0.0,7.0,0.0,3.4,3.4,4.8,8.2,17.0,104.0,74.0,0.14,0.33,0.47,0.14,0.47,0.16,0.22,0.38,0.16,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,24.0,9.0,37.5,1.12,0.42,0.13,0.33,15.1,0.0,0.0,0.0,0.14,-0.4,-0.4,1342.0,1516.0,88.5,20535.0,4284.0,734.0,783.0,93.7,468.0,507.0,92.3,81.0,121.0,66.9,7.0,4.8,4.3,2.2,22.0,107.0,16.0,1.0,104.0,49.0,2.28,41.0,0.0,1.0,2.0,4.0,1.0,11.0,0.51,9.0,0.0,1.0,0.0,1.0,0.0,78.0,44.0,32.0,37.0,9.0,30.0,69.0,43.5,39.0,46.0,5.0,41.0,29.0,107.0,23.0,1.0,1766.0,42.0,320.0,1042.0,413.0,49.0,1766.0,8.0,5.0,62.5,3.0,37.5,1058.0,3171.0,1510.0,17.0,34.0,3.0,29.0,16.0,1350.0,74.0,58.0,56.4,22,78.0,11.0,11,19.0,4,2.33,49.0,22.0,27.0,1.26,-0.37,42.5,27.6,14.9,0.69,-0.25,0.0,58.0,32.0,0.0,6.0,29.0,44.0,0.0,0.0,0.0,121.0,39.0,30.0,56.5,€15.00m
Carles Aleñá,Central Midfield,20.0,ESP,FC Barcelona,30.0,2018/2019,https://www.transfermarkt.com/carles-alena/profil/spieler/284854,17.0,6,637.0,7.1,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.3,1.3,0.7,2.0,18.0,65.0,38.0,0.28,0.0,0.28,0.28,0.28,0.18,0.1,0.28,0.18,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,14.0,3.0,21.4,1.98,0.42,0.14,0.67,22.9,0.0,0.0,0.0,0.09,0.7,0.7,536.0,587.0,91.3,8645.0,1908.0,272.0,288.0,94.4,208.0,218.0,95.4,43.0,55.0,78.2,0.0,0.7,0.8,-0.7,9.0,58.0,6.0,0.0,65.0,27.0,3.82,25.0,0.0,0.0,1.0,1.0,0.0,5.0,0.71,4.0,0.0,0.0,1.0,0.0,0.0,7.0,4.0,0.0,6.0,1.0,2.0,8.0,25.0,6.0,4.0,0.0,4.0,2.0,9.0,0.0,0.0,644.0,2.0,48.0,387.0,215.0,11.0,644.0,18.0,12.0,66.7,6.0,33.3,481.0,2498.0,1154.0,18.0,25.0,3.0,12.0,14.0,574.0,38.0,37.0,18.6,6,78.0,1.0,11,15.0,10,2.06,16.0,8.0,8.0,1.13,-0.36,14.3,11.0,3.3,0.46,-0.42,0.0,9.0,14.0,1.0,3.0,2.0,4.0,0.0,0.0,0.0,38.0,5.0,4.0,55.6,€30.00m
Carles Pérez,Right Winger,20.0,ESP,FC Barcelona,1.5,2018/2019,https://www.transfermarkt.com/carles-perez/profil/spieler/282810,1.0,0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.36,0.36,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,5.0,0.0,0.0,,7.3,0.0,0.0,0.0,0.07,-0.1,-0.1,6.0,7.0,85.7,86.0,14.0,3.0,4.0,75.0,3.0,3.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,4.0,5.0,1.0,9.0,1.0,1.0,100.0,0.0,0.0,6.0,35.0,22.0,1.0,1.0,0.0,0.0,1.0,8.0,1.0,18.0,0.5,0,,0.0,1,17.0,0,1.0,0.0,0.0,0.0,0.0,-1.43,0.2,0.5,-0.4,-1.99,-2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,€1.50m
Chumi,Centre-Back,19.0,ESP,FC Barcelona,2.5,2018/2019,https://www.transfermarkt.com/chumi/profil/spieler/333361,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0,0,,5,,,,,,,,,,,,,,,,,,,,,,,,,,€2.50m
Clément Lenglet,Centre-Back,23.0,FRA,FC Barcelona,60.0,2018/2019,https://www.transfermarkt.com/clement-lenglet/profil/spieler/182904,23.0,22,1933.0,21.5,1.0,0.0,1.0,1.0,0.0,0.0,8.0,1.0,0.9,0.9,0.0,0.9,6.0,49.0,2.0,0.05,0.0,0.05,0.05,0.05,0.04,0.0,0.04,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,2.0,33.3,0.28,0.09,0.17,0.5,8.5,0.0,0.0,0.0,0.16,0.1,0.1,1024.0,1147.0,89.3,19010.0,7938.0,407.0,422.0,96.4,481.0,516.0,93.2,120.0,172.0,69.8,0.0,0.0,0.1,0.0,0.0,34.0,0.0,0.0,49.0,4.0,0.19,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,47.0,29.0,26.0,19.0,2.0,22.0,36.0,61.1,14.0,30.0,20.0,10.0,21.0,68.0,70.0,0.0,1341.0,150.0,682.0,637.0,27.0,9.0,1341.0,6.0,6.0,100.0,0.0,0.0,797.0,3919.0,2487.0,6.0,6.0,0.0,5.0,3.0,932.0,2.0,84.0,56.5,22,87.0,19.0,1,25.0,12,2.43,57.0,19.0,38.0,1.77,0.8,45.4,27.4,18.0,0.84,0.08,0.0,30.0,14.0,1.0,0.0,21.0,29.0,0.0,0.0,1.0,106.0,44.0,32.0,57.9,€60.00m
Denis Suárez,Attacking Midfield,24.0,ESP,FC Barcelona,12.0,2018/2019,https://www.transfermarkt.com/denis-suarez/profil/spieler/165007,2.0,0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.4,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.8,0.31,2.11,1.8,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,100.0,4.74,4.74,0.0,0.0,10.9,0.0,0.0,0.0,0.38,-0.4,-0.4,14.0,18.0,77.8,190.0,40.0,10.0,12.0,83.3,3.0,4.0,75.0,1.0,1.0,100.0,0.0,0.1,0.0,-0.1,1.0,1.0,1.0,1.0,1.0,3.0,14.21,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,1.0,5.0,11.0,6.0,3.0,22.0,4.0,3.0,75.0,1.0,25.0,15.0,125.0,76.0,2.0,0.0,1.0,0.0,0.0,16.0,3.0,10.0,0.6,0,,0.0,2,9.0,7,3.0,1.0,0.0,1.0,4.74,3.33,1.0,0.3,0.7,3.13,2.34,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,100.0,€12.00m
Gerard Piqué,Centre-Back,31.0,ESP,FC Barcelona,35.0,2018/2019,https://www.transfermarkt.com/gerard-pique/profil/spieler/18944,35.0,35,3150.0,35.0,4.0,2.0,6.0,4.0,0.0,0.0,6.0,0.0,3.3,3.3,1.4,4.6,32.0,127.0,13.0,0.11,0.06,0.17,0.11,0.17,0.09,0.04,0.13,0.09,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,18.0,10.0,55.6,0.51,0.29,0.22,0.4,8.0,0.0,0.0,0.0,0.19,0.7,0.7,2196.0,2407.0,91.2,42386.0,14988.0,781.0,844.0,92.5,1154.0,1215.0,95.0,242.0,307.0,78.8,2.0,1.4,0.9,0.6,6.0,143.0,2.0,0.0,127.0,23.0,0.66,15.0,0.0,2.0,4.0,1.0,1.0,6.0,0.17,2.0,0.0,1.0,2.0,1.0,0.0,42.0,27.0,25.0,17.0,0.0,24.0,37.0,64.9,13.0,41.0,27.0,14.0,36.0,78.0,154.0,5.0,2737.0,325.0,1279.0,1395.0,87.0,28.0,2737.0,14.0,12.0,85.7,2.0,14.3,1660.0,9033.0,5679.0,32.0,28.0,2.0,17.0,11.0,1847.0,13.0,90.0,92.1,35,90.0,35.0,0,,1,2.43,86.0,30.0,56.0,1.6,2.27,71.5,41.0,30.6,0.87,0.9,0.0,24.0,21.0,2.0,0.0,36.0,27.0,1.0,0.0,0.0,277.0,116.0,41.0,73.9,€35.00m
Iñaki Peña,Goalkeeper,19.0,ESP,FC Barcelona,1.0,2018/2019,https://www.transfermarkt.com/inaki-pena/profil/spieler/283170,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0,0,,9,,,,,,,,,,,,,,,,,,,,,,,,,,€1.00m
