Player,position,Age,Nation,club,mv_millions,Season,player_url,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Playing Time_MP,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Playing Time_Mn/MP,Playing Time_Min%,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,market_value
Alphonse Areola,Goalkeeper,26.0,FRA,Real Madrid,13.0,2019/2020,https://www.transfermarkt.com/alphonse-areola/profil/spieler/120629,4.0,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.25,14.0,9.0,78.6,3.0,1.0,0.0,1.0,25.0,2.0,2.0,0.0,0.0,0.0,4.0,5.0,2.0,0.0,1.0,0.0,4.1,0.15,-0.9,-0.22,14.0,32.0,43.8,105.0,27.0,17.1,26.9,29.0,48.3,41.4,57.0,2.0,3.5,4.0,1.0,14.2,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,113.0,134.0,84.3,2890.0,1887.0,17.0,17.0,100.0,65.0,65.0,100.0,31.0,52.0,59.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,116.0,138.0,0.0,0.0,0.0,138.0,0.0,0.0,,0.0,,75.0,428.0,277.0,0.0,0.0,0.0,0.0,1.0,59.0,0.0,90.0,10.5,4,90.0,4.0,0,,31,2.5,10.0,5.0,5.0,1.25,0.07,6.8,4.5,2.3,0.57,-0.38,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,1.0,0.0,100.0,€13.00m
Brahim Díaz,Right Winger,19.0,MAR,Real Madrid,13.5,2019/2020,https://www.transfermarkt.com/brahim-diaz/profil/spieler/314678,6.0,0,65.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,6.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.32,0.32,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,2.0,66.7,4.15,2.77,0.0,0.0,17.3,0.0,0.0,0.0,0.08,-0.2,-0.2,33.0,41.0,80.5,394.0,83.0,23.0,27.0,85.2,7.0,7.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1.38,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,57.0,0.0,5.0,32.0,21.0,6.0,57.0,5.0,2.0,40.0,3.0,60.0,40.0,317.0,163.0,6.0,5.0,3.0,4.0,3.0,52.0,9.0,11.0,1.9,0,,0.0,6,11.0,10,2.17,0.0,1.0,-1.0,-1.38,-2.62,0.4,1.3,-0.9,-1.21,-2.16,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,€13.50m
Casemiro,Defensive Midfield,27.0,BRA,Real Madrid,64.0,2019/2020,https://www.transfermarkt.com/casemiro/profil/spieler/16306,35.0,35,3088.0,34.3,4.0,3.0,7.0,4.0,0.0,0.0,12.0,0.0,4.2,4.2,1.5,5.7,16.0,201.0,26.0,0.12,0.09,0.2,0.12,0.2,0.12,0.04,0.17,0.12,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,45.0,12.0,26.7,1.31,0.35,0.09,0.33,22.6,4.0,0.0,0.0,0.1,-0.2,-0.2,1817.0,2185.0,83.2,34678.0,10324.0,812.0,901.0,90.1,640.0,751.0,85.2,305.0,409.0,74.6,3.0,1.5,1.8,1.5,13.0,204.0,19.0,3.0,201.0,68.0,1.98,53.0,1.0,3.0,5.0,1.0,5.0,7.0,0.2,5.0,0.0,1.0,0.0,0.0,1.0,96.0,60.0,43.0,45.0,8.0,39.0,99.0,39.4,60.0,53.0,10.0,43.0,68.0,164.0,72.0,0.0,2616.0,131.0,687.0,1588.0,376.0,36.0,2616.0,33.0,29.0,87.9,4.0,12.1,1440.0,5626.0,2765.0,16.0,40.0,1.0,23.0,28.0,1707.0,26.0,88.0,90.3,35,88.0,32.0,0,,1,2.34,67.0,22.0,45.0,1.31,1.31,61.1,28.5,32.6,0.95,0.43,0.0,87.0,65.0,3.0,24.0,68.0,60.0,0.0,0.0,0.0,294.0,100.0,62.0,61.7,€64.00m
Eden Hazard,Left Winger,28.0,BEL,Real Madrid,80.0,2019/2020,https://www.transfermarkt.com/eden-hazard/profil/spieler/50202,16.0,14,1077.0,12.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,2.1,2.1,3.0,5.0,86.0,59.0,162.0,0.08,0.25,0.33,0.08,0.33,0.17,0.25,0.42,0.17,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,19.0,13.0,68.4,1.59,1.09,0.05,0.08,16.7,0.0,0.0,0.0,0.11,-1.1,-1.1,500.0,598.0,83.6,7057.0,1381.0,326.0,364.0,89.6,116.0,140.0,82.9,37.0,46.0,80.4,3.0,3.0,2.9,0.0,21.0,29.0,15.0,2.0,59.0,55.0,4.59,42.0,0.0,7.0,1.0,5.0,0.0,11.0,0.92,7.0,0.0,0.0,1.0,3.0,0.0,7.0,3.0,2.0,3.0,2.0,3.0,15.0,20.0,12.0,5.0,0.0,5.0,6.0,13.0,0.0,0.0,730.0,3.0,63.0,277.0,404.0,79.0,730.0,71.0,49.0,69.0,22.0,31.0,592.0,4368.0,2465.0,86.0,50.0,31.0,28.0,33.0,638.0,162.0,67.0,31.5,14,74.0,3.0,2,20.0,3,2.44,27.0,5.0,22.0,1.84,0.95,25.5,8.6,16.9,1.41,0.73,0.0,12.0,50.0,2.0,19.0,6.0,3.0,3.0,0.0,0.0,61.0,6.0,7.0,46.2,€80.00m
Federico Valverde,Central Midfield,21.0,URU,Real Madrid,54.0,2019/2020,https://www.transfermarkt.com/federico-valverde/profil/spieler/369081,33.0,21,1907.0,21.2,2.0,5.0,7.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,3.3,5.3,41.0,112.0,69.0,0.09,0.24,0.33,0.09,0.33,0.09,0.16,0.25,0.09,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,22.0,11.0,50.0,1.04,0.52,0.09,0.18,23.0,0.0,0.0,0.0,0.09,0.0,0.0,961.0,1104.0,87.0,14698.0,3788.0,571.0,619.0,92.2,283.0,323.0,87.6,74.0,98.0,75.5,5.0,3.3,2.3,1.7,20.0,104.0,19.0,2.0,112.0,49.0,2.31,43.0,0.0,2.0,2.0,0.0,2.0,8.0,0.38,7.0,0.0,1.0,0.0,0.0,0.0,38.0,19.0,9.0,19.0,10.0,12.0,36.0,33.3,24.0,38.0,4.0,34.0,21.0,59.0,12.0,2.0,1300.0,27.0,195.0,726.0,395.0,24.0,1300.0,27.0,19.0,70.4,8.0,29.6,807.0,4603.0,2469.0,41.0,43.0,10.0,31.0,19.0,968.0,69.0,58.0,55.8,21,83.0,10.0,12,14.0,2,2.3,42.0,12.0,30.0,1.42,0.52,39.6,19.2,20.4,0.96,0.12,0.0,25.0,10.0,0.0,16.0,21.0,19.0,0.0,0.0,0.0,113.0,25.0,18.0,58.1,€54.00m
Ferland Mendy,Left-Back,24.0,FRA,Real Madrid,32.0,2019/2020,https://www.transfermarkt.com/ferland-mendy/profil/spieler/291417,25.0,19,1809.0,20.1,1.0,3.0,4.0,1.0,0.0,0.0,8.0,1.0,0.6,0.6,2.4,3.0,69.0,64.0,131.0,0.05,0.15,0.2,0.05,0.2,0.03,0.12,0.15,0.03,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,7.0,3.0,42.9,0.35,0.15,0.14,0.33,21.2,0.0,0.0,0.0,0.09,0.4,0.4,1060.0,1252.0,84.7,15809.0,4180.0,635.0,681.0,93.2,311.0,382.0,81.4,76.0,113.0,67.3,3.0,2.4,1.6,0.6,20.0,46.0,21.0,9.0,64.0,45.0,2.24,35.0,1.0,4.0,0.0,3.0,2.0,6.0,0.3,3.0,0.0,1.0,0.0,2.0,0.0,32.0,26.0,20.0,9.0,3.0,14.0,18.0,77.8,4.0,19.0,5.0,14.0,22.0,54.0,30.0,1.0,1469.0,54.0,380.0,626.0,468.0,38.0,1469.0,69.0,49.0,71.0,20.0,29.0,885.0,4847.0,2486.0,69.0,42.0,20.0,38.0,17.0,980.0,131.0,72.0,52.9,19,90.0,18.0,6,18.0,6,2.4,35.0,11.0,24.0,1.19,0.02,34.0,16.9,17.1,0.85,-0.12,1.0,25.0,29.0,1.0,66.0,22.0,26.0,1.0,0.0,0.0,97.0,26.0,19.0,57.8,€32.00m
Gareth Bale,Right Winger,30.0,WAL,Real Madrid,32.0,2019/2020,https://www.transfermarkt.com/gareth-bale/profil/spieler/39381,16.0,12,1089.0,12.1,2.0,2.0,4.0,2.0,0.0,0.0,4.0,1.0,4.0,4.0,1.7,5.7,48.0,35.0,118.0,0.17,0.17,0.33,0.17,0.33,0.33,0.14,0.47,0.33,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,34.0,12.0,35.3,2.81,0.99,0.06,0.17,17.3,3.0,0.0,0.0,0.12,-2.0,-2.0,363.0,500.0,72.6,5861.0,1344.0,206.0,238.0,86.6,113.0,152.0,74.3,37.0,82.0,45.1,2.0,1.7,1.6,0.3,12.0,22.0,16.0,8.0,35.0,36.0,2.98,22.0,2.0,5.0,4.0,3.0,0.0,7.0,0.58,6.0,0.0,0.0,1.0,0.0,0.0,9.0,5.0,5.0,2.0,2.0,3.0,14.0,21.4,11.0,8.0,2.0,6.0,6.0,15.0,9.0,0.0,622.0,8.0,71.0,256.0,301.0,45.0,622.0,30.0,18.0,60.0,12.0,40.0,395.0,2674.0,1374.0,48.0,39.0,8.0,24.0,11.0,510.0,118.0,68.0,31.8,12,82.0,5.0,4,26.0,10,2.13,21.0,9.0,12.0,0.99,-0.28,18.2,13.5,4.7,0.39,-0.77,1.0,16.0,10.0,5.0,45.0,6.0,5.0,0.0,0.0,0.0,36.0,28.0,12.0,70.0,€32.00m
Isco,Attacking Midfield,27.0,ESP,Real Madrid,40.0,2019/2020,https://www.transfermarkt.com/isco/profil/spieler/85288,23.0,15,1181.0,13.1,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,2.1,2.1,1.9,3.9,48.0,96.0,75.0,0.08,0.15,0.23,0.08,0.23,0.16,0.14,0.3,0.16,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,23.0,13.0,56.5,1.75,0.99,0.04,0.08,18.8,2.0,0.0,0.0,0.09,-1.1,-1.1,727.0,860.0,84.5,10614.0,2626.0,432.0,462.0,93.5,208.0,243.0,85.6,52.0,87.0,59.8,2.0,1.9,1.9,0.1,23.0,67.0,21.0,4.0,96.0,50.0,3.81,39.0,1.0,2.0,3.0,4.0,1.0,7.0,0.53,3.0,1.0,0.0,1.0,2.0,0.0,13.0,9.0,2.0,10.0,1.0,5.0,14.0,35.7,9.0,9.0,0.0,9.0,7.0,20.0,4.0,1.0,981.0,6.0,114.0,515.0,362.0,37.0,981.0,45.0,33.0,73.3,12.0,26.7,710.0,4224.0,2155.0,48.0,39.0,6.0,29.0,21.0,833.0,75.0,51.0,34.5,15,71.0,1.0,8,15.0,7,2.39,15.0,8.0,7.0,0.53,-0.99,17.7,12.8,5.0,0.38,-0.81,0.0,15.0,30.0,7.0,39.0,7.0,9.0,0.0,0.0,0.0,64.0,6.0,17.0,26.1,€40.00m
James Rodríguez,Attacking Midfield,28.0,COL,Real Madrid,32.0,2019/2020,https://www.transfermarkt.com/james-rodriguez/profil/spieler/88103,8.0,5,419.0,4.7,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.1,1.1,2.2,3.3,10.0,34.0,27.0,0.21,0.21,0.43,0.21,0.43,0.23,0.48,0.71,0.23,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,9.0,1.0,11.1,1.93,0.21,0.11,1.0,17.4,1.0,0.0,0.0,0.12,-0.1,-0.1,233.0,303.0,76.9,4174.0,1130.0,115.0,130.0,88.5,74.0,85.0,87.1,37.0,68.0,54.4,1.0,2.2,1.4,-1.2,14.0,29.0,8.0,2.0,34.0,24.0,5.16,18.0,4.0,0.0,0.0,2.0,0.0,1.0,0.21,1.0,0.0,0.0,0.0,0.0,0.0,17.0,13.0,6.0,8.0,3.0,6.0,12.0,50.0,6.0,3.0,0.0,3.0,3.0,20.0,1.0,0.0,348.0,0.0,38.0,175.0,139.0,8.0,348.0,1.0,1.0,100.0,0.0,0.0,236.0,1052.0,389.0,10.0,7.0,0.0,8.0,3.0,263.0,27.0,52.0,12.3,5,78.0,2.0,3,10.0,10,2.13,7.0,3.0,4.0,0.86,-0.37,8.8,2.5,6.3,1.36,0.52,0.0,5.0,8.0,2.0,26.0,3.0,13.0,0.0,0.0,0.0,18.0,4.0,6.0,40.0,€32.00m
Javi Hernández,Left-Back,21.0,ESP,Real Madrid,0.9,2019/2020,https://www.transfermarkt.com/javi-hernandez/profil/spieler/422466,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0,0,,8,,,,,,,,,,,,,,,,,,,,,,,,,,€900k
