Player,position,Age,Nation,club,mv_millions,Season,player_url,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Playing Time_Mn/MP,Playing Time_Min%,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,MP,market_value
Diego Costa,Centre-Forward,31.0,ESP,Atlético de Madrid,6.0,2020/2021,https://www.transfermarkt.com/diego-costa/profil/spieler/44779,7.0,2,208.0,2.3,2.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.4,0.6,0.5,1.1,3.0,6.0,21.0,0.87,0.0,0.87,0.43,0.43,0.6,0.21,0.82,0.26,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,2.0,50.0,1.73,0.87,0.25,0.5,13.4,0.0,1.0,1.0,0.15,0.6,0.4,57.0,74.0,77.0,716.0,71.0,37.0,45.0,82.2,10.0,13.0,76.9,4.0,4.0,100.0,0.0,0.5,0.4,-0.5,4.0,1.0,6.0,0.0,6.0,9.0,3.88,6.0,0.0,0.0,1.0,2.0,0.0,3.0,1.29,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,94.0,2.0,6.0,40.0,49.0,17.0,93.0,1.0,1.0,100.0,0.0,0.0,57.0,228.0,66.0,3.0,5.0,2.0,7.0,6.0,91.0,21.0,30.0,6.1,2,59.0,0,5,18.0,0,2.43,5.0,0.0,5.0,2.16,1.13,5.6,2.6,3.0,1.28,0.93,0.0,7.0,3.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,9.0,15.0,37.5,,€6.00m
Felipe,Centre-Back,31.0,BRA,Atlético de Madrid,12.0,2020/2021,https://www.transfermarkt.com/felipe/profil/spieler/156501,31.0,23,2057.0,22.9,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.5,1.5,0.3,1.8,5.0,36.0,3.0,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.08,0.07,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,12.0,2.0,16.7,0.53,0.09,0.0,0.0,9.8,0.0,0.0,0.0,0.12,-1.5,-1.5,889.0,1054.0,84.3,16048.0,5921.0,336.0,377.0,89.1,438.0,498.0,88.0,87.0,138.0,63.0,0.0,0.3,0.5,-0.3,4.0,26.0,0.0,0.0,36.0,11.0,0.48,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,17.0,19.0,10.0,0.0,18.0,23.0,78.3,5.0,30.0,15.0,15.0,36.0,65.0,128.0,2.0,1301.0,185.0,669.0,603.0,39.0,24.0,1301.0,3.0,3.0,100.0,0.0,0.0,701.0,3635.0,1638.0,5.0,2.0,0.0,3.0,1.0,753.0,3.0,66.0,60.1,23,86.0,20,8,10.0,6,2.29,36.0,18.0,18.0,0.79,-0.8,29.3,25.0,4.3,0.19,-0.57,0.0,29.0,14.0,0.0,1.0,36.0,17.0,0.0,0.0,1.0,126.0,75.0,26.0,74.3,,€12.00m
Geoffrey Kondogbia,Defensive Midfield,27.0,CTA,Atlético de Madrid,15.0,2020/2021,https://www.transfermarkt.com/geoffrey-kondogbia/profil/spieler/127189,25.0,4,611.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.4,0.6,14.0,37.0,4.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.09,0.02,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,2.0,40.0,0.74,0.29,0.0,0.0,22.8,0.0,0.0,0.0,0.03,-0.2,-0.2,329.0,389.0,84.6,5350.0,1372.0,158.0,178.0,88.8,118.0,133.0,88.7,34.0,46.0,73.9,0.0,0.4,0.3,-0.4,4.0,28.0,5.0,0.0,37.0,12.0,1.77,10.0,0.0,0.0,0.0,2.0,0.0,1.0,0.15,1.0,0.0,0.0,0.0,0.0,0.0,30.0,20.0,12.0,16.0,2.0,11.0,20.0,55.0,9.0,11.0,5.0,6.0,11.0,41.0,8.0,1.0,466.0,17.0,113.0,317.0,43.0,5.0,466.0,12.0,10.0,83.3,2.0,16.7,260.0,1581.0,855.0,14.0,8.0,2.0,3.0,2.0,305.0,4.0,24.0,17.9,4,71.0,2,21,16.0,6,2.32,9.0,5.0,4.0,0.59,-0.63,9.1,8.3,0.7,0.11,-0.37,0.0,19.0,13.0,0.0,1.0,11.0,20.0,0.0,0.0,0.0,61.0,6.0,8.0,42.9,,€15.00m
Geoffrey Kondogbia,Defensive Midfield,27.0,CTA,Valencia CF,15.0,2020/2021,https://www.transfermarkt.com/geoffrey-kondogbia/profil/spieler/127189,25.0,4,611.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.4,0.6,14.0,37.0,4.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.09,0.02,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,2.0,40.0,0.74,0.29,0.0,0.0,22.8,0.0,0.0,0.0,0.03,-0.2,-0.2,329.0,389.0,84.6,5350.0,1372.0,158.0,178.0,88.8,118.0,133.0,88.7,34.0,46.0,73.9,0.0,0.4,0.3,-0.4,4.0,28.0,5.0,0.0,37.0,12.0,1.77,10.0,0.0,0.0,0.0,2.0,0.0,1.0,0.15,1.0,0.0,0.0,0.0,0.0,0.0,30.0,20.0,12.0,16.0,2.0,11.0,20.0,55.0,9.0,11.0,5.0,6.0,11.0,41.0,8.0,1.0,466.0,17.0,113.0,317.0,43.0,5.0,466.0,12.0,10.0,83.3,2.0,16.7,260.0,1581.0,855.0,14.0,8.0,2.0,3.0,2.0,305.0,4.0,24.0,17.9,4,71.0,2,21,16.0,6,2.32,9.0,5.0,4.0,0.59,-0.63,9.1,8.3,0.7,0.11,-0.37,0.0,19.0,13.0,0.0,1.0,11.0,20.0,0.0,0.0,0.0,61.0,6.0,8.0,42.9,,€15.00m
Germán Valera,Right Winger,18.0,ESP,Atlético de Madrid,2.5,2020/2021,https://www.transfermarkt.com/german-valera/profil/spieler/548188,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,€2.50m
Héctor Herrera,Central Midfield,30.0,MEX,Atlético de Madrid,7.0,2020/2021,https://www.transfermarkt.com/hector-herrera/profil/spieler/122043,16.0,8,682.0,7.6,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.7,1.0,4.0,48.0,7.0,0.0,0.13,0.13,0.0,0.13,0.04,0.09,0.13,0.04,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7.0,1.0,14.3,0.92,0.13,0.0,0.0,19.6,0.0,0.0,0.0,0.04,-0.3,-0.3,594.0,666.0,89.2,9424.0,2779.0,310.0,329.0,94.2,202.0,226.0,89.4,52.0,68.0,76.5,1.0,0.7,0.6,0.3,6.0,60.0,9.0,0.0,48.0,16.0,2.11,11.0,1.0,1.0,3.0,0.0,0.0,2.0,0.26,0.0,1.0,0.0,1.0,0.0,0.0,12.0,7.0,5.0,6.0,1.0,7.0,13.0,53.8,6.0,7.0,2.0,5.0,14.0,26.0,8.0,0.0,735.0,16.0,152.0,482.0,102.0,5.0,735.0,6.0,4.0,66.7,2.0,33.3,422.0,1929.0,795.0,4.0,9.0,1.0,5.0,4.0,545.0,7.0,43.0,19.9,8,69.0,2,8,17.0,8,2.19,21.0,4.0,17.0,2.24,1.42,13.1,6.8,6.4,0.84,0.53,0.0,9.0,6.0,1.0,5.0,14.0,7.0,0.0,0.0,0.0,59.0,15.0,14.0,51.7,,€7.00m
Jan Oblak,Goalkeeper,27.0,SVN,Atlético de Madrid,70.0,2020/2021,https://www.transfermarkt.com/jan-oblak/profil/spieler/121483,38.0,38,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.66,122.0,98.0,80.3,26.0,8.0,4.0,18.0,47.4,4.0,1.0,2.0,1.0,66.7,38.0,25.0,1.0,0.0,5.0,3.0,33.1,0.25,11.1,0.29,202.0,539.0,37.5,710.0,131.0,49.7,39.1,293.0,63.5,45.9,513.0,14.0,2.7,27.0,0.71,15.7,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,642.0,1005.0,63.9,20935.0,15888.0,87.0,87.0,100.0,230.0,233.0,98.7,322.0,679.0,47.4,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,6.0,0.16,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1071.0,923.0,1064.0,8.0,0.0,0.0,1071.0,1.0,1.0,100.0,0.0,0.0,479.0,3018.0,1896.0,0.0,0.0,0.0,0.0,0.0,364.0,0.0,90.0,100.0,38,90.0,38,0,,0,2.26,67.0,25.0,42.0,1.11,,52.8,37.1,15.7,0.41,,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,49.0,6.0,1.0,85.7,,€70.00m
José María Giménez,Centre-Back,25.0,URU,Atlético de Madrid,60.0,2020/2021,https://www.transfermarkt.com/jose-maria-gimenez/profil/spieler/250845,21.0,20,1765.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.1,1.1,0.2,1.4,11.0,59.0,4.0,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.07,0.06,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.0,5.0,35.7,0.71,0.25,0.0,0.0,13.1,0.0,0.0,0.0,0.08,-1.1,-1.1,974.0,1128.0,86.3,19119.0,6871.0,348.0,378.0,92.1,481.0,518.0,92.9,127.0,197.0,64.5,0.0,0.2,0.3,-0.2,4.0,39.0,2.0,0.0,59.0,8.0,0.41,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,7.0,14.0,5.0,1.0,12.0,17.0,70.6,5.0,17.0,11.0,6.0,21.0,41.0,65.0,0.0,1284.0,134.0,612.0,625.0,53.0,23.0,1284.0,2.0,1.0,50.0,1.0,50.0,745.0,3718.0,2222.0,11.0,6.0,0.0,2.0,1.0,899.0,4.0,84.0,51.6,20,88.0,18,1,11.0,4,2.33,37.0,13.0,24.0,1.22,0.24,28.2,18.1,10.1,0.52,0.21,0.0,19.0,17.0,2.0,1.0,21.0,7.0,0.0,0.0,0.0,82.0,45.0,29.0,60.8,,€60.00m
João Félix,Second Striker,20.0,POR,Atlético de Madrid,80.0,2020/2021,https://www.transfermarkt.com/joao-felix/profil/spieler/462250,31.0,14,1572.0,17.5,7.0,5.0,12.0,6.0,1.0,2.0,6.0,0.0,5.5,3.9,4.3,8.1,49.0,73.0,94.0,0.4,0.29,0.69,0.34,0.63,0.31,0.24,0.56,0.22,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,37.0,15.0,40.5,2.12,0.86,0.16,0.4,19.4,2.0,1.0,2.0,0.1,1.5,2.1,567.0,689.0,82.3,7174.0,2182.0,357.0,397.0,89.9,108.0,136.0,79.4,36.0,51.0,70.6,5.0,4.3,2.6,0.7,21.0,55.0,16.0,0.0,73.0,46.0,2.63,32.0,0.0,5.0,5.0,4.0,0.0,11.0,0.63,8.0,0.0,1.0,1.0,1.0,0.0,8.0,4.0,1.0,6.0,1.0,4.0,17.0,23.5,13.0,3.0,0.0,3.0,5.0,13.0,2.0,0.0,865.0,6.0,67.0,429.0,376.0,54.0,863.0,60.0,30.0,50.0,30.0,50.0,578.0,3145.0,1640.0,49.0,54.0,10.0,40.0,34.0,749.0,94.0,51.0,46.0,14,73.0,3,17,33.0,0,2.26,33.0,14.0,19.0,1.09,-0.03,27.3,16.3,11.0,0.63,0.4,0.0,16.0,48.0,5.0,11.0,5.0,4.0,1.0,0.0,0.0,63.0,21.0,31.0,40.4,,€80.00m
Kieran Trippier,Right-Back,29.0,ENG,Atlético de Madrid,20.0,2020/2021,https://www.transfermarkt.com/kieran-trippier/profil/spieler/95810,28.0,28,2475.0,27.5,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,3.6,3.8,43.0,169.0,196.0,0.0,0.22,0.22,0.0,0.22,0.0,0.13,0.14,0.0,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,1.0,33.3,0.11,0.04,0.0,0.0,18.8,1.0,0.0,0.0,0.04,-0.1,-0.1,1406.0,1821.0,77.2,22500.0,9024.0,743.0,824.0,90.2,481.0,618.0,77.8,121.0,244.0,49.6,6.0,3.6,3.9,2.4,34.0,98.0,60.0,10.0,169.0,75.0,2.73,56.0,17.0,0.0,0.0,1.0,1.0,9.0,0.33,9.0,0.0,0.0,0.0,0.0,0.0,61.0,39.0,30.0,25.0,6.0,26.0,52.0,50.0,26.0,22.0,4.0,18.0,40.0,101.0,58.0,1.0,2054.0,84.0,538.0,884.0,642.0,16.0,2054.0,25.0,19.0,76.0,6.0,24.0,989.0,3798.0,2052.0,43.0,38.0,3.0,22.0,7.0,1280.0,196.0,88.0,72.4,28,88.0,26,0,,0,2.25,47.0,13.0,34.0,1.24,0.47,38.2,27.3,10.9,0.4,-0.06,0.0,30.0,15.0,6.0,105.0,40.0,39.0,0.0,0.0,0.0,146.0,40.0,24.0,62.5,,€20.00m
