player,position,age,market_value,club,nationality,player_url,mv_millions,season
Marc-André ter Stegen,Goalkeeper,26,€60.00m,FC Barcelona,['Germany'],https://www.transfermarkt.com/marc-andre-ter-stegen/profil/spieler/74857,60.0,2017/18
Jasper Cillessen,Goalkeeper,29,€9.00m,FC Barcelona,['Netherlands'],https://www.transfermarkt.com/jasper-cillessen/profil/spieler/146227,9.0,2017/18
Adrián Ortolá,Goalkeeper,24,€1.50m,FC Barcelona,['Spain'],https://www.transfermarkt.com/adrian-ortola/profil/spieler/142033,1.5,2017/18
Samuel Umtiti,Centre-Back,24,€60.00m,FC Barcelona,"['France', 'Cameroon']",https://www.transfermarkt.com/samuel-umtiti/profil/spieler/126540,60.0,2017/18
Gerard Piqué,Centre-Back,31,€50.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/gerard-pique/profil/spieler/18944,50.0,2017/18
Yerry Mina,Centre-Back,23,€9.00m,FC Barcelona,['Colombia'],https://www.transfermarkt.com/yerry-mina/profil/spieler/289446,9.0,2017/18
Thomas Vermaelen,Centre-Back,32,€5.00m,FC Barcelona,['Belgium'],https://www.transfermarkt.com/thomas-vermaelen/profil/spieler/15904,5.0,2017/18
David Costas,Centre-Back,23,€3.50m,FC Barcelona,['Spain'],https://www.transfermarkt.com/david-costas/profil/spieler/276111,3.5,2017/18
Jordi Alba,Left-Back,29,€60.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/jordi-alba/profil/spieler/69751,60.0,2017/18
Lucas Digne,Left-Back,24,€15.00m,FC Barcelona,['France'],https://www.transfermarkt.com/lucas-digne/profil/spieler/126664,15.0,2017/18
Marc Cucurella,Left-Back,19,€5.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/marc-cucurella/profil/spieler/284857,5.0,2017/18
Nélson Semedo,Right-Back,24,€30.00m,FC Barcelona,"['Portugal', 'Cape Verde']",https://www.transfermarkt.com/nelson-semedo/profil/spieler/231572,30.0,2017/18
Sergio Busquets,Defensive Midfield,29,€80.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/sergio-busquets/profil/spieler/65230,80.0,2017/18
Javier Mascherano,Defensive Midfield,34,€5.00m,FC Barcelona,"['Argentina', 'Italy']",https://www.transfermarkt.com/javier-mascherano/profil/spieler/19981,5.0,2017/18
Uri Busquets,Defensive Midfield,19,€2.50m,FC Barcelona,['Spain'],https://www.transfermarkt.com/uri-busquets/profil/spieler/282721,2.5,2017/18
Sergi Roberto,Central Midfield,26,€55.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/sergi-roberto/profil/spieler/85370,55.0,2017/18
Ivan Rakitic,Central Midfield,30,€50.00m,FC Barcelona,"['Croatia', 'Switzerland']",https://www.transfermarkt.com/ivan-rakitic/profil/spieler/32467,50.0,2017/18
Paulinho,Central Midfield,29,€40.00m,FC Barcelona,['Brazil'],https://www.transfermarkt.com/paulinho/profil/spieler/57229,40.0,2017/18
