player,position,age,market_value,club,nationality,player_url,mv_millions,season
Thibaut Courtois,Goalkeeper,32,€28.00m,Real Madrid,['Belgium'],https://www.transfermarkt.com/thibaut-courtois/profil/spieler/108390,28.0,2023/24
Andriy Lunin,Goalkeeper,25,€25.00m,Real Madrid,['Ukraine'],https://www.transfermarkt.com/andriy-lunin/profil/spieler/404839,25.0,2023/24
Kepa Arrizabalaga,Goalkeeper,29,€12.00m,Real Madrid,['Spain'],https://www.transfermarkt.com/kepa-arrizabalaga/profil/spieler/192279,12.0,2023/24
Lucas Cañizares,Goalkeeper,22,€400k,Real Madrid,['Spain'],https://www.transfermarkt.com/lucas-canizares/profil/spieler/568154,0.4,2023/24
Mario de Luis,Goalkeeper,22,€400k,Real Madrid,['Spain'],https://www.transfermarkt.com/mario-de-luis/profil/spieler/717952,0.4,2023/24
Diego Piñeiro,Goalkeeper,20,€50k,Real Madrid,['Spain'],https://www.transfermarkt.com/diego-pineiro/profil/spieler/926850,0.05,2023/24
Fran González,Goalkeeper,19,-,Real Madrid,['Spain'],https://www.transfermarkt.com/fran-gonzalez/profil/spieler/1055220,0.0,2023/24
Éder Militão,Centre-Back,26,€60.00m,Real Madrid,"['Brazil', 'Spain']",https://www.transfermarkt.com/eder-militao/profil/spieler/401530,60.0,2023/24
Antonio Rüdiger,Centre-Back,31,€25.00m,Real Madrid,"['Germany', 'Sierra Leone']",https://www.transfermarkt.com/antonio-rudiger/profil/spieler/86202,25.0,2023/24
David Alaba,Centre-Back,32,€20.00m,Real Madrid,['Austria'],https://www.transfermarkt.com/david-alaba/profil/spieler/59016,20.0,2023/24
Nacho Fernández,Centre-Back,34,€3.00m,Real Madrid,['Spain'],https://www.transfermarkt.com/nacho-fernandez/profil/spieler/58884,3.0,2023/24
Álvaro Carrillo,Centre-Back,22,€300k,Real Madrid,['Spain'],https://www.transfermarkt.com/alvaro-carrillo/profil/spieler/652330,0.3,2023/24
Edgar Pujol,Centre-Back,19,€250k,Real Madrid,"['Dominican Republic', 'Spain']",https://www.transfermarkt.com/edgar-pujol/profil/spieler/646745,0.25,2023/24
Jacobo Ramón,Centre-Back,19,€100k,Real Madrid,['Spain'],https://www.transfermarkt.com/jacobo-ramon/profil/spieler/948278,0.1,2023/24
Ferland Mendy,Left-Back,29,€22.00m,Real Madrid,"['France', 'Senegal']",https://www.transfermarkt.com/ferland-mendy/profil/spieler/291417,22.0,2023/24
Fran García,Left-Back,24,€15.00m,Real Madrid,['Spain'],https://www.transfermarkt.com/fran-garcia/profil/spieler/341264,15.0,2023/24
Daniel Carvajal,Right-Back,32,€12.00m,Real Madrid,['Spain'],https://www.transfermarkt.com/daniel-carvajal/profil/spieler/138927,12.0,2023/24
Lucas Vázquez,Right-Back,32,€4.00m,Real Madrid,['Spain'],https://www.transfermarkt.com/lucas-vazquez/profil/spieler/221316,4.0,2023/24
Vinícius Tobias,Right-Back,20,€3.00m,Real Madrid,"['Brazil', 'Spain']",https://www.transfermarkt.com/vinicius-tobias/profil/spieler/743587,3.0,2023/24
Álvaro Odriozola,Right-Back,28,€2.50m,Real Madrid,['Spain'],https://www.transfermarkt.com/alvaro-odriozola/profil/spieler/280730,2.5,2023/24
Aurélien Tchouaméni,Defensive Midfield,24,€100.00m,Real Madrid,"['France', 'Cameroon']",https://www.transfermarkt.com/aurelien-tchouameni/profil/spieler/413112,100.0,2023/24
Mario Martín,Defensive Midfield,20,€300k,Real Madrid,['Spain'],https://www.transfermarkt.com/mario-martin/profil/spieler/948273,0.3,2023/24
Federico Valverde,Central Midfield,25,€120.00m,Real Madrid,"['Uruguay', 'Spain']",https://www.transfermarkt.com/federico-valverde/profil/spieler/369081,120.0,2023/24
Eduardo Camavinga,Central Midfield,21,€100.00m,Real Madrid,"['France', 'DR Congo']",https://www.transfermarkt.com/eduardo-camavinga/profil/spieler/640428,100.0,2023/24
Toni Kroos,Central Midfield,34,€10.00m,Real Madrid,['Germany'],https://www.transfermarkt.com/toni-kroos/profil/spieler/31909,10.0,2023/24
