player,position,age,market_value,club,nationality,player_url,mv_millions,season
Thibaut Courtois,Goalkeeper,31,€45.00m,Real Madrid,['Belgium'],https://www.transfermarkt.com/thibaut-courtois/profil/spieler/108390,45.0,2022/23
Andriy Lunin,Goalkeeper,24,€5.00m,Real Madrid,['Ukraine'],https://www.transfermarkt.com/andriy-lunin/profil/spieler/404839,5.0,2022/23
Mario de Luis,Goalkeeper,21,€500k,Real Madrid,['Spain'],https://www.transfermarkt.com/mario-de-luis/profil/spieler/717952,0.5,2022/23
Luis López,Goalkeeper,22,€300k,Real Madrid,['Spain'],https://www.transfermarkt.com/luis-lopez/profil/spieler/623525,0.3,2022/23
Lucas Cañizares,Goalkeeper,21,€200k,Real Madrid,['Spain'],https://www.transfermarkt.com/lucas-canizares/profil/spieler/568154,0.2,2022/23
Diego Piñeiro,Goalkeeper,19,-,Real Madrid,['Spain'],https://www.transfermarkt.com/diego-pineiro/profil/spieler/926850,0.0,2022/23
Fran González,Goalkeeper,18,-,Real Madrid,['Spain'],https://www.transfermarkt.com/fran-gonzalez/profil/spieler/1055220,0.0,2022/23
Éder Militão,Centre-Back,25,€70.00m,Real Madrid,"['Brazil', 'Spain']",https://www.transfermarkt.com/eder-militao/profil/spieler/401530,70.0,2022/23
David Alaba,Centre-Back,31,€40.00m,Real Madrid,['Austria'],https://www.transfermarkt.com/david-alaba/profil/spieler/59016,40.0,2022/23
Antonio Rüdiger,Centre-Back,30,€32.00m,Real Madrid,"['Germany', 'Sierra Leone']",https://www.transfermarkt.com/antonio-rudiger/profil/spieler/86202,32.0,2022/23
Nacho Fernández,Centre-Back,33,€6.00m,Real Madrid,['Spain'],https://www.transfermarkt.com/nacho-fernandez/profil/spieler/58884,6.0,2022/23
Jesús Vallejo,Centre-Back,26,€2.00m,Real Madrid,['Spain'],https://www.transfermarkt.com/jesus-vallejo/profil/spieler/251896,2.0,2022/23
Marvel,Centre-Back,20,€1.00m,Real Madrid,"['Spain', 'Nigeria']",https://www.transfermarkt.com/marvel/profil/spieler/935229,1.0,2022/23
Ferland Mendy,Left-Back,28,€25.00m,Real Madrid,"['France', 'Senegal']",https://www.transfermarkt.com/ferland-mendy/profil/spieler/291417,25.0,2022/23
Daniel Carvajal,Right-Back,31,€12.00m,Real Madrid,['Spain'],https://www.transfermarkt.com/daniel-carvajal/profil/spieler/138927,12.0,2022/23
Lucas Vázquez,Right-Back,31,€8.00m,Real Madrid,['Spain'],https://www.transfermarkt.com/lucas-vazquez/profil/spieler/221316,8.0,2022/23
Álvaro Odriozola,Right-Back,27,€5.00m,Real Madrid,['Spain'],https://www.transfermarkt.com/alvaro-odriozola/profil/spieler/280730,5.0,2022/23
Vinícius Tobias,Right-Back,19,€3.00m,Real Madrid,"['Brazil', 'Spain']",https://www.transfermarkt.com/vinicius-tobias/profil/spieler/743587,3.0,2022/23
Aurélien Tchouaméni,Defensive Midfield,23,€85.00m,Real Madrid,"['France', 'Cameroon']",https://www.transfermarkt.com/aurelien-tchouameni/profil/spieler/413112,85.0,2022/23
Casemiro,Defensive Midfield,31,€40.00m,Real Madrid,"['Brazil', 'Spain']",https://www.transfermarkt.com/casemiro/profil/spieler/16306,40.0,2022/23
Mario Martín,Defensive Midfield,19,€250k,Real Madrid,['Spain'],https://www.transfermarkt.com/mario-martin/profil/spieler/948273,0.25,2022/23
Federico Valverde,Central Midfield,24,€100.00m,Real Madrid,"['Uruguay', 'Spain']",https://www.transfermarkt.com/federico-valverde/profil/spieler/369081,100.0,2022/23
Eduardo Camavinga,Central Midfield,20,€85.00m,Real Madrid,"['France', 'DR Congo']",https://www.transfermarkt.com/eduardo-camavinga/profil/spieler/640428,85.0,2022/23
Toni Kroos,Central Midfield,33,€15.00m,Real Madrid,['Germany'],https://www.transfermarkt.com/toni-kroos/profil/spieler/31909,15.0,2022/23
Dani Ceballos,Central Midfield,26,€12.00m,Real Madrid,['Spain'],https://www.transfermarkt.com/dani-ceballos/profil/spieler/319745,12.0,2022/23
Luka Modrić,Central Midfield,37,€10.00m,Real Madrid,['Croatia'],https://www.transfermarkt.com/luka-modric/profil/spieler/27992,10.0,2022/23
Carlos Dotor,Central Midfield,22,€700k,Real Madrid,['Spain'],https://www.transfermarkt.com/carlos-dotor/profil/spieler/623524,0.7,2022/23
Marco Asensio,Attacking Midfield,27,€25.00m,Real Madrid,"['Spain', 'Netherlands']",https://www.transfermarkt.com/marco-asensio/profil/spieler/296622,25.0,2022/23
Sergio Arribas,Attacking Midfield,21,€5.00m,Real Madrid,['Spain'],https://www.transfermarkt.com/sergio-arribas/profil/spieler/537762,5.0,2022/23
Nico Paz,Attacking Midfield,18,€2.00m,Real Madrid,"['Argentina', 'Spain']",https://www.transfermarkt.com/nico-paz/profil/spieler/948294,2.0,2022/23
Vinicius Junior,Left Winger,22,€150.00m,Real Madrid,"['Brazil', 'Spain']",https://www.transfermarkt.com/vinicius-junior/profil/spieler/371998,150.0,2022/23
Eden Hazard,Left Winger,32,€5.00m,Real Madrid,['Belgium'],https://www.transfermarkt.com/eden-hazard/profil/spieler/50202,5.0,2022/23
Rodrygo,Right Winger,22,€100.00m,Real Madrid,"['Brazil', 'Spain']",https://www.transfermarkt.com/rodrygo/profil/spieler/412363,100.0,2022/23
Karim Benzema,Centre-Forward,35,€25.00m,Real Madrid,"['France', 'Algeria']",https://www.transfermarkt.com/karim-benzema/profil/spieler/18922,25.0,2022/23
Álvaro Rodríguez,Centre-Forward,18,€6.00m,Real Madrid,"['Uruguay', 'Spain']",https://www.transfermarkt.com/alvaro-rodriguez/profil/spieler/948275,6.0,2022/23
Mariano Díaz,Centre-Forward,29,€2.50m,Real Madrid,"['Dominican Republic', 'Spain']",https://www.transfermarkt.com/mariano-diaz/profil/spieler/225020,2.5,2022/23
Marc-André ter Stegen,Goalkeeper,31,€35.00m,FC Barcelona,['Germany'],https://www.transfermarkt.com/marc-andre-ter-stegen/profil/spieler/74857,35.0,2022/23
Iñaki Peña,Goalkeeper,24,€4.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/inaki-pena/profil/spieler/283170,4.0,2022/23
Arnau Tenas,Goalkeeper,22,€2.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/arnau-tenas/profil/spieler/466783,2.0,2022/23
Ander Astralaga,Goalkeeper,19,-,FC Barcelona,['Spain'],https://www.transfermarkt.com/ander-astralaga/profil/spieler/709955,0.0,2022/23
Ronald Araujo,Centre-Back,24,€70.00m,FC Barcelona,"['Uruguay', 'Spain']",https://www.transfermarkt.com/ronald-araujo/profil/spieler/480267,70.0,2022/23
Andreas Christensen,Centre-Back,27,€40.00m,FC Barcelona,['Denmark'],https://www.transfermarkt.com/andreas-christensen/profil/spieler/196948,40.0,2022/23
Eric García,Centre-Back,22,€10.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/eric-garcia/profil/spieler/466794,10.0,2022/23
Chadi Riad,Centre-Back,20,€500k,FC Barcelona,"['Morocco', 'Spain']",https://www.transfermarkt.com/chadi-riad/profil/spieler/689637,0.5,2022/23
Gerard Piqué,Centre-Back,36,-,FC Barcelona,['Spain'],https://www.transfermarkt.com/gerard-pique/profil/spieler/18944,0.0,2022/23
Alejandro Balde,Left-Back,19,€50.00m,FC Barcelona,"['Spain', 'Dominican Republic']",https://www.transfermarkt.com/alejandro-balde/profil/spieler/636688,50.0,2022/23
Marcos Alonso,Left-Back,32,€5.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/marcos-alonso/profil/spieler/112515,5.0,2022/23
Jordi Alba,Left-Back,34,€5.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/jordi-alba/profil/spieler/69751,5.0,2022/23
Álex Valle,Left-Back,19,€500k,FC Barcelona,['Spain'],https://www.transfermarkt.com/alex-valle/profil/spieler/709957,0.5,2022/23
Jules Koundé,Right-Back,24,€60.00m,FC Barcelona,"['France', 'Benin']",https://www.transfermarkt.com/jules-kounde/profil/spieler/411975,60.0,2022/23
Héctor Bellerín,Right-Back,28,€8.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/hector-bellerin/profil/spieler/191217,8.0,2022/23
Sergio Busquets,Defensive Midfield,34,€5.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/sergio-busquets/profil/spieler/65230,5.0,2022/23
Álvaro Sanz,Defensive Midfield,22,€700k,FC Barcelona,['Spain'],https://www.transfermarkt.com/alvaro-sanz/profil/spieler/466806,0.7,2022/23
Marc Casadó,Defensive Midfield,19,€300k,FC Barcelona,['Spain'],https://www.transfermarkt.com/marc-casado/profil/spieler/636695,0.3,2022/23
Pau Prim,Defensive Midfield,17,-,FC Barcelona,['Spain'],https://www.transfermarkt.com/pau-prim/profil/spieler/937956,0.0,2022/23
Pedri,Central Midfield,20,€100.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/pedri/profil/spieler/683840,100.0,2022/23
Gavi,Central Midfield,18,€90.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/gavi/profil/spieler/646740,90.0,2022/23
Frenkie de Jong,Central Midfield,26,€75.00m,FC Barcelona,['Netherlands'],https://www.transfermarkt.com/frenkie-de-jong/profil/spieler/326330,75.0,2022/23
Franck Kessié,Central Midfield,26,€25.00m,FC Barcelona,"[""Cote d'Ivoire"", 'Italy']",https://www.transfermarkt.com/franck-kessie/profil/spieler/294808,25.0,2022/23
Miralem Pjanić,Central Midfield,33,€6.00m,FC Barcelona,"['Bosnia-Herzegovina', 'Luxembourg']",https://www.transfermarkt.com/miralem-pjanic/profil/spieler/44162,6.0,2022/23
Sergi Roberto,Central Midfield,31,€5.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/sergi-roberto/profil/spieler/85370,5.0,2022/23
Aleix Garrido,Central Midfield,19,€300k,FC Barcelona,['Spain'],https://www.transfermarkt.com/aleix-garrido/profil/spieler/709966,0.3,2022/23
Unai Hernández,Central Midfield,18,-,FC Barcelona,['Spain'],https://www.transfermarkt.com/unai-hernandez/profil/spieler/970633,0.0,2022/23
Pablo Torre,Attacking Midfield,20,€3.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/pablo-torre/profil/spieler/720038,3.0,2022/23
Raphinha,Left Winger,26,€60.00m,FC Barcelona,"['Brazil', 'Italy']",https://www.transfermarkt.com/raphinha/profil/spieler/411295,60.0,2022/23
Ansu Fati,Left Winger,20,€35.00m,FC Barcelona,"['Spain', 'Guinea-Bissau']",https://www.transfermarkt.com/ansu-fati/profil/spieler/466810,35.0,2022/23
Estanis Pedrola,Left Winger,19,€500k,FC Barcelona,['Spain'],https://www.transfermarkt.com/estanis-pedrola/profil/spieler/913539,0.5,2022/23
Ángel Alarcón,Left Winger,19,-,FC Barcelona,['Spain'],https://www.transfermarkt.com/angel-alarcon/profil/spieler/646739,0.0,2022/23
Dani Rodríguez,Left Winger,17,-,FC Barcelona,['Spain'],https://www.transfermarkt.com/dani-rodriguez/profil/spieler/834470,0.0,2022/23
Ousmane Dembélé,Right Winger,26,€60.00m,FC Barcelona,['France'],https://www.transfermarkt.com/ousmane-dembele/profil/spieler/288230,60.0,2022/23
Ilias Akhomach,Right Winger,19,€3.00m,FC Barcelona,"['Morocco', 'Spain']",https://www.transfermarkt.com/ilias-akhomach/profil/spieler/709969,3.0,2022/23
Lamine Yamal,Right Winger,15,-,FC Barcelona,"['Spain', 'Equatorial Guinea']",https://www.transfermarkt.com/lamine-yamal/profil/spieler/937958,0.0,2022/23
Robert Lewandowski,Centre-Forward,34,€30.00m,FC Barcelona,['Poland'],https://www.transfermarkt.com/robert-lewandowski/profil/spieler/38253,30.0,2022/23
Ferran Torres,Centre-Forward,23,€30.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/ferran-torres/profil/spieler/398184,30.0,2022/23
Memphis Depay,Centre-Forward,29,€14.00m,FC Barcelona,"['Netherlands', 'Ghana']",https://www.transfermarkt.com/memphis-depay/profil/spieler/167850,14.0,2022/23
Pierre-Emerick Aubameyang,Centre-Forward,34,€4.00m,FC Barcelona,"['Gabon', 'France']",https://www.transfermarkt.com/pierre-emerick-aubameyang/profil/spieler/58864,4.0,2022/23
Marc Guiu,Centre-Forward,17,-,FC Barcelona,['Spain'],https://www.transfermarkt.com/marc-guiu/profil/spieler/938158,0.0,2022/23
Jan Oblak,Goalkeeper,30,€35.00m,Atlético de Madrid,['Slovenia'],https://www.transfermarkt.com/jan-oblak/profil/spieler/121483,35.0,2022/23
Ivo Grbic,Goalkeeper,27,€3.50m,Atlético de Madrid,['Croatia'],https://www.transfermarkt.com/ivo-grbic/profil/spieler/226073,3.5,2022/23
Alejandro Iturbe,Goalkeeper,19,€150k,Atlético de Madrid,['Spain'],https://www.transfermarkt.com/alejandro-iturbe/profil/spieler/618801,0.15,2022/23
Antonio Gomis,Goalkeeper,20,€150k,Atlético de Madrid,['Spain'],https://www.transfermarkt.com/antonio-gomis/profil/spieler/930415,0.15,2022/23
Sergio Mestre,Goalkeeper,18,-,Atlético de Madrid,['Spain'],https://www.transfermarkt.com/sergio-mestre/profil/spieler/973314,0.0,2022/23
