player,position,age,market_value,club,nationality,player_url,mv_millions,season
Marc-André ter Stegen,Goalkeeper,28,€72.00m,FC Barcelona,['Germany'],https://www.transfermarkt.com/marc-andre-ter-stegen/profil/spieler/74857,72.0,2019/20
Neto,Goalkeeper,30,€14.50m,FC Barcelona,"['Brazil', 'Italy']",https://www.transfermarkt.com/neto/profil/spieler/111819,14.5,2019/20
Iñaki Peña,Goalkeeper,21,€2.30m,FC Barcelona,['Spain'],https://www.transfermarkt.com/inaki-pena/profil/spieler/283170,2.3,2019/20
Arnau Tenas,Goalkeeper,19,-,FC Barcelona,['Spain'],https://www.transfermarkt.com/arnau-tenas/profil/spieler/466783,0.0,2019/20
Clément Lenglet,Centre-Back,25,€48.00m,FC Barcelona,['France'],https://www.transfermarkt.com/clement-lenglet/profil/spieler/182904,48.0,2019/20
Samuel Umtiti,Centre-Back,26,€32.00m,FC Barcelona,"['France', 'Cameroon']",https://www.transfermarkt.com/samuel-umtiti/profil/spieler/126540,32.0,2019/20
Gerard Piqué,Centre-Back,33,€20.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/gerard-pique/profil/spieler/18944,20.0,2019/20
Jean-Clair Todibo,Centre-Back,20,€9.00m,FC Barcelona,"['France', 'French Guiana']",https://www.transfermarkt.com/jean-clair-todibo/profil/spieler/605184,9.0,2019/20
Ronald Araujo,Centre-Back,21,€4.50m,FC Barcelona,"['Uruguay', 'Spain']",https://www.transfermarkt.com/ronald-araujo/profil/spieler/480267,4.5,2019/20
Jorge Cuenca,Centre-Back,20,€2.30m,FC Barcelona,['Spain'],https://www.transfermarkt.com/jorge-cuenca/profil/spieler/494880,2.3,2019/20
Chumi,Centre-Back,21,€1.80m,FC Barcelona,['Spain'],https://www.transfermarkt.com/chumi/profil/spieler/333361,1.8,2019/20
Jordi Alba,Left-Back,31,€40.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/jordi-alba/profil/spieler/69751,40.0,2019/20
Junior Firpo,Left-Back,23,€20.00m,FC Barcelona,"['Dominican Republic', 'Spain']",https://www.transfermarkt.com/junior-firpo/profil/spieler/374139,20.0,2019/20
Sergio Akieme,Left-Back,22,€300k,FC Barcelona,"['Spain', 'Equatorial Guinea']",https://www.transfermarkt.com/sergio-akieme/profil/spieler/355627,0.3,2019/20
Nélson Semedo,Right-Back,26,€32.00m,FC Barcelona,"['Portugal', 'Cape Verde']",https://www.transfermarkt.com/nelson-semedo/profil/spieler/231572,32.0,2019/20
Moussa Wagué,Right-Back,21,€6.70m,FC Barcelona,['Senegal'],https://www.transfermarkt.com/moussa-wague/profil/spieler/364240,6.7,2019/20
Dani Morer,Right-Back,22,€300k,FC Barcelona,"['Spain', 'Colombia']",https://www.transfermarkt.com/dani-morer/profil/spieler/282726,0.3,2019/20
Óscar Mingueza,Right-Back,21,€200k,FC Barcelona,['Spain'],https://www.transfermarkt.com/oscar-mingueza/profil/spieler/331505,0.2,2019/20
Arthur Melo,Defensive Midfield,23,€56.00m,FC Barcelona,['Brazil'],https://www.transfermarkt.com/arthur-melo/profil/spieler/362842,56.0,2019/20
Sergio Busquets,Defensive Midfield,31,€28.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/sergio-busquets/profil/spieler/65230,28.0,2019/20
Frenkie de Jong,Central Midfield,23,€72.00m,FC Barcelona,['Netherlands'],https://www.transfermarkt.com/frenkie-de-jong/profil/spieler/326330,72.0,2019/20
Sergi Roberto,Central Midfield,28,€40.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/sergi-roberto/profil/spieler/85370,40.0,2019/20
Ivan Rakitic,Central Midfield,32,€20.00m,FC Barcelona,"['Croatia', 'Switzerland']",https://www.transfermarkt.com/ivan-rakitic/profil/spieler/32467,20.0,2019/20
Carles Aleñá,Central Midfield,22,€18.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/carles-alena/profil/spieler/284854,18.0,2019/20
Arturo Vidal,Central Midfield,33,€11.00m,FC Barcelona,['Chile'],https://www.transfermarkt.com/arturo-vidal/profil/spieler/37666,11.0,2019/20
Riqui Puig,Central Midfield,20,€9.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/riqui-puig/profil/spieler/331511,9.0,2019/20
Ludovit Reis,Central Midfield,20,€2.70m,FC Barcelona,"['Netherlands', 'Slovakia']",https://www.transfermarkt.com/ludovit-reis/profil/spieler/490884,2.7,2019/20
Monchu,Central Midfield,20,€900k,FC Barcelona,['Spain'],https://www.transfermarkt.com/monchu/profil/spieler/282727,0.9,2019/20
Jandro Orellana,Central Midfield,19,€300k,FC Barcelona,['Spain'],https://www.transfermarkt.com/jandro-orellana/profil/spieler/388548,0.3,2019/20
Rafinha,Attacking Midfield,27,€9.50m,FC Barcelona,"['Brazil', 'Spain']",https://www.transfermarkt.com/rafinha/profil/spieler/129473,9.5,2019/20
Ansu Fati,Left Winger,17,€36.00m,FC Barcelona,"['Spain', 'Guinea-Bissau']",https://www.transfermarkt.com/ansu-fati/profil/spieler/466810,36.0,2019/20
Konrad de la Fuente,Left Winger,18,€450k,FC Barcelona,"['United States', 'Dominican Republic']",https://www.transfermarkt.com/konrad-de-la-fuente/profil/spieler/466809,0.45,2019/20
Kike Saverio,Left Winger,21,€300k,FC Barcelona,"['Ecuador', 'Spain']",https://www.transfermarkt.com/kike-saverio/profil/spieler/388519,0.3,2019/20
Lionel Messi,Right Winger,33,€112.00m,FC Barcelona,"['Argentina', 'Spain']",https://www.transfermarkt.com/lionel-messi/profil/spieler/28003,112.0,2019/20
Ousmane Dembélé,Right Winger,23,€56.00m,FC Barcelona,['France'],https://www.transfermarkt.com/ousmane-dembele/profil/spieler/288230,56.0,2019/20
Carles Pérez,Right Winger,22,€9.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/carles-perez/profil/spieler/282810,9.0,2019/20
Álex Collado,Right Winger,21,€4.50m,FC Barcelona,['Spain'],https://www.transfermarkt.com/alex-collado/profil/spieler/282722,4.5,2019/20
Antoine Griezmann,Centre-Forward,29,€96.00m,FC Barcelona,['France'],https://www.transfermarkt.com/antoine-griezmann/profil/spieler/125781,96.0,2019/20
Luis Suárez,Centre-Forward,33,€28.00m,FC Barcelona,['Uruguay'],https://www.transfermarkt.com/luis-suarez/profil/spieler/44352,28.0,2019/20
Martin Braithwaite,Centre-Forward,29,€9.50m,FC Barcelona,"['Denmark', 'Guyana']",https://www.transfermarkt.com/martin-braithwaite/profil/spieler/95732,9.5,2019/20
Abel Ruiz,Centre-Forward,20,€4.50m,FC Barcelona,['Spain'],https://www.transfermarkt.com/abel-ruiz/profil/spieler/340376,4.5,2019/20
Rey Manaj,Centre-Forward,23,€725k,FC Barcelona,"['Albania', 'Italy']",https://www.transfermarkt.com/rey-manaj/profil/spieler/308278,0.725,2019/20
Thibaut Courtois,Goalkeeper,28,€48.00m,Real Madrid,['Belgium'],https://www.transfermarkt.com/thibaut-courtois/profil/spieler/108390,48.0,2019/20
Alphonse Areola,Goalkeeper,27,€13.00m,Real Madrid,"['France', 'Philippines']",https://www.transfermarkt.com/alphonse-areola/profil/spieler/120629,13.0,2019/20
Keylor Navas,Goalkeeper,33,€8.00m,Real Madrid,"['Costa Rica', 'Spain']",https://www.transfermarkt.com/keylor-navas/profil/spieler/79422,8.0,2019/20
Diego Altube,Goalkeeper,20,€100k,Real Madrid,['Spain'],https://www.transfermarkt.com/diego-altube/profil/spieler/549069,0.1,2019/20
Luis López,Goalkeeper,19,-,Real Madrid,['Spain'],https://www.transfermarkt.com/luis-lopez/profil/spieler/623525,0.0,2019/20
Raphaël Varane,Centre-Back,27,€64.00m,Real Madrid,"['France', 'Martinique']",https://www.transfermarkt.com/raphael-varane/profil/spieler/164770,64.0,2019/20
Éder Militão,Centre-Back,22,€36.00m,Real Madrid,"['Brazil', 'Spain']",https://www.transfermarkt.com/eder-militao/profil/spieler/401530,36.0,2019/20
Sergio Ramos,Centre-Back,34,€14.50m,Real Madrid,['Spain'],https://www.transfermarkt.com/sergio-ramos/profil/spieler/25557,14.5,2019/20
Nacho Fernández,Centre-Back,30,€12.00m,Real Madrid,['Spain'],https://www.transfermarkt.com/nacho-fernandez/profil/spieler/58884,12.0,2019/20
Adrián de la Fuente,Centre-Back,21,€250k,Real Madrid,['Spain'],https://www.transfermarkt.com/adrian-de-la-fuente/profil/spieler/341263,0.25,2019/20
Ferland Mendy,Left-Back,25,€32.00m,Real Madrid,"['France', 'Senegal']",https://www.transfermarkt.com/ferland-mendy/profil/spieler/291417,32.0,2019/20
Marcelo,Left-Back,32,€16.00m,Real Madrid,"['Brazil', 'Spain']",https://www.transfermarkt.com/marcelo/profil/spieler/44501,16.0,2019/20
Javi Hernández,Left-Back,22,€900k,Real Madrid,['Spain'],https://www.transfermarkt.com/javi-hernandez/profil/spieler/422466,0.9,2019/20
Miguel Gutiérrez,Left-Back,18,-,Real Madrid,['Spain'],https://www.transfermarkt.com/miguel-gutierrez/profil/spieler/525299,0.0,2019/20
Daniel Carvajal,Right-Back,28,€40.00m,Real Madrid,['Spain'],https://www.transfermarkt.com/daniel-carvajal/profil/spieler/138927,40.0,2019/20
Lucas Vázquez,Right-Back,28,€16.00m,Real Madrid,['Spain'],https://www.transfermarkt.com/lucas-vazquez/profil/spieler/221316,16.0,2019/20
Álvaro Odriozola,Right-Back,24,€16.00m,Real Madrid,['Spain'],https://www.transfermarkt.com/alvaro-odriozola/profil/spieler/280730,16.0,2019/20
Casemiro,Defensive Midfield,28,€64.00m,Real Madrid,"['Brazil', 'Spain']",https://www.transfermarkt.com/casemiro/profil/spieler/16306,64.0,2019/20
Federico Valverde,Central Midfield,21,€54.00m,Real Madrid,"['Uruguay', 'Spain']",https://www.transfermarkt.com/federico-valverde/profil/spieler/369081,54.0,2019/20
Toni Kroos,Central Midfield,30,€48.00m,Real Madrid,['Germany'],https://www.transfermarkt.com/toni-kroos/profil/spieler/31909,48.0,2019/20
Luka Modrić,Central Midfield,34,€12.00m,Real Madrid,['Croatia'],https://www.transfermarkt.com/luka-modric/profil/spieler/27992,12.0,2019/20
Isco,Attacking Midfield,28,€40.00m,Real Madrid,['Spain'],https://www.transfermarkt.com/isco/profil/spieler/85288,40.0,2019/20
James Rodríguez,Attacking Midfield,28,€32.00m,Real Madrid,"['Colombia', 'Spain']",https://www.transfermarkt.com/james-rodriguez/profil/spieler/88103,32.0,2019/20
Marco Asensio,Attacking Midfield,24,€32.00m,Real Madrid,"['Spain', 'Netherlands']",https://www.transfermarkt.com/marco-asensio/profil/spieler/296622,32.0,2019/20
Reinier,Attacking Midfield,18,€22.50m,Real Madrid,['Brazil'],https://www.transfermarkt.com/reinier/profil/spieler/627226,22.5,2019/20
Eden Hazard,Left Winger,29,€80.00m,Real Madrid,['Belgium'],https://www.transfermarkt.com/eden-hazard/profil/spieler/50202,80.0,2019/20
Vinicius Junior,Left Winger,19,€45.00m,Real Madrid,"['Brazil', 'Spain']",https://www.transfermarkt.com/vinicius-junior/profil/spieler/371998,45.0,2019/20
Rodrygo,Right Winger,19,€45.00m,Real Madrid,"['Brazil', 'Spain']",https://www.transfermarkt.com/rodrygo/profil/spieler/412363,45.0,2019/20
Gareth Bale,Right Winger,30,€32.00m,Real Madrid,['Wales'],https://www.transfermarkt.com/gareth-bale/profil/spieler/39381,32.0,2019/20
Brahim Díaz,Right Winger,20,€13.50m,Real Madrid,"['Morocco', 'Spain']",https://www.transfermarkt.com/brahim-diaz/profil/spieler/314678,13.5,2019/20
Karim Benzema,Centre-Forward,32,€32.00m,Real Madrid,"['France', 'Algeria']",https://www.transfermarkt.com/karim-benzema/profil/spieler/18922,32.0,2019/20
Luka Jović,Centre-Forward,22,€32.00m,Real Madrid,"['Serbia', 'Bosnia-Herzegovina']",https://www.transfermarkt.com/luka-jovic/profil/spieler/257462,32.0,2019/20
Mariano Díaz,Centre-Forward,26,€13.00m,Real Madrid,"['Dominican Republic', 'Spain']",https://www.transfermarkt.com/mariano-diaz/profil/spieler/225020,13.0,2019/20
Jan Oblak,Goalkeeper,27,€80.00m,Atlético de Madrid,['Slovenia'],https://www.transfermarkt.com/jan-oblak/profil/spieler/121483,80.0,2019/20
Antonio Adán,Goalkeeper,33,€800k,Atlético de Madrid,['Spain'],https://www.transfermarkt.com/antonio-adan/profil/spieler/44062,0.8,2019/20
Álex dos Santos,Goalkeeper,21,€200k,Atlético de Madrid,"['Brazil', 'Spain']",https://www.transfermarkt.com/alex-dos-santos/profil/spieler/396341,0.2,2019/20
José María Giménez,Centre-Back,25,€56.00m,Atlético de Madrid,"['Uruguay', 'Spain']",https://www.transfermarkt.com/jose-maria-gimenez/profil/spieler/250845,56.0,2019/20
Stefan Savic,Centre-Back,29,€25.50m,Atlético de Madrid,"['Montenegro', 'Serbia']",https://www.transfermarkt.com/stefan-savic/profil/spieler/107010,25.5,2019/20
Felipe,Centre-Back,31,€25.50m,Atlético de Madrid,['Brazil'],https://www.transfermarkt.com/felipe/profil/spieler/156501,25.5,2019/20
Mario Hermoso,Centre-Back,25,€20.00m,Atlético de Madrid,['Spain'],https://www.transfermarkt.com/mario-hermoso/profil/spieler/281769,20.0,2019/20
Álvaro García,Centre-Back,20,€150k,Atlético de Madrid,['Spain'],https://www.transfermarkt.com/alvaro-garcia/profil/spieler/495600,0.15,2019/20
Renan Lodi,Left-Back,22,€31.50m,Atlético de Madrid,"['Brazil', 'Italy']",https://www.transfermarkt.com/renan-lodi/profil/spieler/476352,31.5,2019/20
Manu Sánchez,Left-Back,19,€2.70m,Atlético de Madrid,['Spain'],https://www.transfermarkt.com/manu-sanchez/profil/spieler/618809,2.7,2019/20
Kieran Trippier,Right-Back,29,€28.00m,Atlético de Madrid,['England'],https://www.transfermarkt.com/kieran-trippier/profil/spieler/95810,28.0,2019/20
Santiago Arias,Right-Back,28,€12.00m,Atlético de Madrid,['Colombia'],https://www.transfermarkt.com/santiago-arias/profil/spieler/120443,12.0,2019/20
Sime Vrsaljko,Right-Back,28,€12.00m,Atlético de Madrid,['Croatia'],https://www.transfermarkt.com/sime-vrsaljko/profil/spieler/76061,12.0,2019/20
