player,position,age,market_value,club,nationality,player_url,mv_millions,season
Marc-André ter Stegen,Goalkeeper,27,€90.00m,FC Barcelona,['Germany'],https://www.transfermarkt.com/marc-andre-ter-stegen/profil/spieler/74857,90.0,2018/19
Jasper Cillessen,Goalkeeper,30,€18.00m,FC Barcelona,['Netherlands'],https://www.transfermarkt.com/jasper-cillessen/profil/spieler/146227,18.0,2018/19
Iñaki Peña,Goalkeeper,20,€1.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/inaki-pena/profil/spieler/283170,1.0,2018/19
Jokin Ezkieta,Goalkeeper,22,€200k,FC Barcelona,['Spain'],https://www.transfermarkt.com/jokin-ezkieta/profil/spieler/379548,0.2,2018/19
Clément Lenglet,Centre-Back,24,€60.00m,FC Barcelona,['France'],https://www.transfermarkt.com/clement-lenglet/profil/spieler/182904,60.0,2018/19
Samuel Umtiti,Centre-Back,25,€45.00m,FC Barcelona,"['France', 'Cameroon']",https://www.transfermarkt.com/samuel-umtiti/profil/spieler/126540,45.0,2018/19
Gerard Piqué,Centre-Back,32,€35.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/gerard-pique/profil/spieler/18944,35.0,2018/19
Jeison Murillo,Centre-Back,27,€10.00m,FC Barcelona,"['Colombia', 'Spain']",https://www.transfermarkt.com/jeison-murillo/profil/spieler/131102,10.0,2018/19
Jean-Clair Todibo,Centre-Back,19,€8.00m,FC Barcelona,"['France', 'French Guiana']",https://www.transfermarkt.com/jean-clair-todibo/profil/spieler/605184,8.0,2018/19
Thomas Vermaelen,Centre-Back,33,€2.50m,FC Barcelona,['Belgium'],https://www.transfermarkt.com/thomas-vermaelen/profil/spieler/15904,2.5,2018/19
Chumi,Centre-Back,20,€2.50m,FC Barcelona,['Spain'],https://www.transfermarkt.com/chumi/profil/spieler/333361,2.5,2018/19
Jorge Cuenca,Centre-Back,19,€1.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/jorge-cuenca/profil/spieler/494880,1.0,2018/19
Jordi Alba,Left-Back,30,€50.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/jordi-alba/profil/spieler/69751,50.0,2018/19
Juan Miranda,Left-Back,19,€5.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/juan-miranda/profil/spieler/341227,5.0,2018/19
Nélson Semedo,Right-Back,25,€40.00m,FC Barcelona,"['Portugal', 'Cape Verde']",https://www.transfermarkt.com/nelson-semedo/profil/spieler/231572,40.0,2018/19
Moussa Wagué,Right-Back,20,€5.00m,FC Barcelona,['Senegal'],https://www.transfermarkt.com/moussa-wague/profil/spieler/364240,5.0,2018/19
Guillem Jaime,Right-Back,20,€200k,FC Barcelona,['Spain'],https://www.transfermarkt.com/guillem-jaime/profil/spieler/331508,0.2,2018/19
Arthur Melo,Defensive Midfield,22,€70.00m,FC Barcelona,['Brazil'],https://www.transfermarkt.com/arthur-melo/profil/spieler/362842,70.0,2018/19
Sergio Busquets,Defensive Midfield,30,€50.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/sergio-busquets/profil/spieler/65230,50.0,2018/19
Uri Busquets,Defensive Midfield,20,€2.50m,FC Barcelona,['Spain'],https://www.transfermarkt.com/uri-busquets/profil/spieler/282721,2.5,2018/19
Sergi Samper,Defensive Midfield,24,€1.50m,FC Barcelona,['Spain'],https://www.transfermarkt.com/sergi-samper/profil/spieler/181112,1.5,2018/19
Sergi Roberto,Central Midfield,27,€50.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/sergi-roberto/profil/spieler/85370,50.0,2018/19
Ivan Rakitic,Central Midfield,31,€40.00m,FC Barcelona,"['Croatia', 'Switzerland']",https://www.transfermarkt.com/ivan-rakitic/profil/spieler/32467,40.0,2018/19
Carles Aleñá,Central Midfield,21,€30.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/carles-alena/profil/spieler/284854,30.0,2018/19
Arturo Vidal,Central Midfield,32,€15.00m,FC Barcelona,['Chile'],https://www.transfermarkt.com/arturo-vidal/profil/spieler/37666,15.0,2018/19
Riqui Puig,Central Midfield,19,€10.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/riqui-puig/profil/spieler/331511,10.0,2018/19
Philippe Coutinho,Attacking Midfield,27,€90.00m,FC Barcelona,"['Brazil', 'Portugal']",https://www.transfermarkt.com/philippe-coutinho/profil/spieler/80444,90.0,2018/19
Malcom,Attacking Midfield,22,€40.00m,FC Barcelona,"['Brazil', 'Russia']",https://www.transfermarkt.com/malcom/profil/spieler/323704,40.0,2018/19
Rafinha,Attacking Midfield,26,€15.00m,FC Barcelona,"['Brazil', 'Spain']",https://www.transfermarkt.com/rafinha/profil/spieler/129473,15.0,2018/19
Denis Suárez,Attacking Midfield,25,€12.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/denis-suarez/profil/spieler/165007,12.0,2018/19
Kevin-Prince Boateng,Attacking Midfield,32,€7.00m,FC Barcelona,"['Ghana', 'Germany']",https://www.transfermarkt.com/kevin-prince-boateng/profil/spieler/16922,7.0,2018/19
Lionel Messi,Right Winger,32,€150.00m,FC Barcelona,"['Argentina', 'Spain']",https://www.transfermarkt.com/lionel-messi/profil/spieler/28003,150.0,2018/19
Ousmane Dembélé,Right Winger,22,€100.00m,FC Barcelona,['France'],https://www.transfermarkt.com/ousmane-dembele/profil/spieler/288230,100.0,2018/19
Munir El Haddadi,Right Winger,23,€10.00m,FC Barcelona,"['Morocco', 'Spain']",https://www.transfermarkt.com/munir-el-haddadi/profil/spieler/223725,10.0,2018/19
Carles Pérez,Right Winger,21,€1.50m,FC Barcelona,['Spain'],https://www.transfermarkt.com/carles-perez/profil/spieler/282810,1.5,2018/19
Álex Collado,Right Winger,20,€1.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/alex-collado/profil/spieler/282722,1.0,2018/19
Luis Suárez,Centre-Forward,32,€50.00m,FC Barcelona,['Uruguay'],https://www.transfermarkt.com/luis-suarez/profil/spieler/44352,50.0,2018/19
Paco Alcácer,Centre-Forward,25,€37.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/paco-alcacer/profil/spieler/126716,37.0,2018/19
Abel Ruiz,Centre-Forward,19,€3.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/abel-ruiz/profil/spieler/340376,3.0,2018/19
