player,position,age,market_value,club,nationality,player_url,mv_millions,season
Marc-André ter Stegen,Goalkeeper,29,€60.00m,FC Barcelona,['Germany'],https://www.transfermarkt.com/marc-andre-ter-stegen/profil/spieler/74857,60.0,2020/21
Neto,Goalkeeper,31,€6.00m,FC Barcelona,"['Brazil', 'Italy']",https://www.transfermarkt.com/neto/profil/spieler/111819,6.0,2020/21
Iñaki Peña,Goalkeeper,22,€3.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/inaki-pena/profil/spieler/283170,3.0,2020/21
Arnau Tenas,Goalkeeper,20,€1.50m,FC Barcelona,['Spain'],https://www.transfermarkt.com/arnau-tenas/profil/spieler/466783,1.5,2020/21
Ronald Araujo,Centre-Back,22,€25.00m,FC Barcelona,"['Uruguay', 'Spain']",https://www.transfermarkt.com/ronald-araujo/profil/spieler/480267,25.0,2020/21
Clément Lenglet,Centre-Back,26,€25.00m,FC Barcelona,['France'],https://www.transfermarkt.com/clement-lenglet/profil/spieler/182904,25.0,2020/21
Gerard Piqué,Centre-Back,34,€10.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/gerard-pique/profil/spieler/18944,10.0,2020/21
Samuel Umtiti,Centre-Back,27,€8.00m,FC Barcelona,"['France', 'Cameroon']",https://www.transfermarkt.com/samuel-umtiti/profil/spieler/126540,8.0,2020/21
Santiago Ramos Mingo,Centre-Back,19,€500k,FC Barcelona,"['Argentina', 'Italy']",https://www.transfermarkt.com/santiago-ramos-mingo/profil/spieler/688593,0.5,2020/21
Jordi Alba,Left-Back,32,€20.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/jordi-alba/profil/spieler/69751,20.0,2020/21
Junior Firpo,Left-Back,24,€8.00m,FC Barcelona,"['Dominican Republic', 'Spain']",https://www.transfermarkt.com/junior-firpo/profil/spieler/374139,8.0,2020/21
Sergiño Dest,Right-Back,20,€30.00m,FC Barcelona,"['United States', 'Netherlands']",https://www.transfermarkt.com/sergino-dest/profil/spieler/361104,30.0,2020/21
Óscar Mingueza,Right-Back,22,€15.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/oscar-mingueza/profil/spieler/331505,15.0,2020/21
Sergio Busquets,Defensive Midfield,32,€9.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/sergio-busquets/profil/spieler/65230,9.0,2020/21
Matheus Fernandes,Defensive Midfield,23,€1.50m,FC Barcelona,['Brazil'],https://www.transfermarkt.com/matheus-fernandes/profil/spieler/351892,1.5,2020/21
Frenkie de Jong,Central Midfield,24,€90.00m,FC Barcelona,['Netherlands'],https://www.transfermarkt.com/frenkie-de-jong/profil/spieler/326330,90.0,2020/21
Pedri,Central Midfield,18,€70.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/pedri/profil/spieler/683840,70.0,2020/21
Ilaix Moriba,Central Midfield,18,€25.00m,FC Barcelona,"['Guinea', 'Spain']",https://www.transfermarkt.com/ilaix-moriba/profil/spieler/617074,25.0,2020/21
Miralem Pjanić,Central Midfield,31,€20.00m,FC Barcelona,"['Bosnia-Herzegovina', 'Luxembourg']",https://www.transfermarkt.com/miralem-pjanic/profil/spieler/44162,20.0,2020/21
Riqui Puig,Central Midfield,21,€18.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/riqui-puig/profil/spieler/331511,18.0,2020/21
Sergi Roberto,Central Midfield,29,€18.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/sergi-roberto/profil/spieler/85370,18.0,2020/21
Carles Aleñá,Central Midfield,23,€15.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/carles-alena/profil/spieler/284854,15.0,2020/21
Philippe Coutinho,Attacking Midfield,29,€30.00m,FC Barcelona,"['Brazil', 'Portugal']",https://www.transfermarkt.com/philippe-coutinho/profil/spieler/80444,30.0,2020/21
Rafinha,Attacking Midfield,28,€15.00m,FC Barcelona,"['Brazil', 'Spain']",https://www.transfermarkt.com/rafinha/profil/spieler/129473,15.0,2020/21
Ansu Fati,Left Winger,18,€60.00m,FC Barcelona,"['Spain', 'Guinea-Bissau']",https://www.transfermarkt.com/ansu-fati/profil/spieler/466810,60.0,2020/21
Konrad de la Fuente,Left Winger,19,€4.00m,FC Barcelona,"['United States', 'Dominican Republic']",https://www.transfermarkt.com/konrad-de-la-fuente/profil/spieler/466809,4.0,2020/21
Lionel Messi,Right Winger,34,€80.00m,FC Barcelona,"['Argentina', 'Spain']",https://www.transfermarkt.com/lionel-messi/profil/spieler/28003,80.0,2020/21
Ousmane Dembélé,Right Winger,24,€50.00m,FC Barcelona,['France'],https://www.transfermarkt.com/ousmane-dembele/profil/spieler/288230,50.0,2020/21
Francisco Trincão,Right Winger,21,€22.00m,FC Barcelona,['Portugal'],https://www.transfermarkt.com/francisco-trincao/profil/spieler/412669,22.0,2020/21
Álex Collado,Right Winger,22,€5.00m,FC Barcelona,['Spain'],https://www.transfermarkt.com/alex-collado/profil/spieler/282722,5.0,2020/21
Antoine Griezmann,Centre-Forward,30,€60.00m,FC Barcelona,['France'],https://www.transfermarkt.com/antoine-griezmann/profil/spieler/125781,60.0,2020/21
Martin Braithwaite,Centre-Forward,30,€9.00m,FC Barcelona,"['Denmark', 'Guyana']",https://www.transfermarkt.com/martin-braithwaite/profil/spieler/95732,9.0,2020/21
Thibaut Courtois,Goalkeeper,29,€60.00m,Real Madrid,['Belgium'],https://www.transfermarkt.com/thibaut-courtois/profil/spieler/108390,60.0,2020/21
Andriy Lunin,Goalkeeper,22,€3.00m,Real Madrid,['Ukraine'],https://www.transfermarkt.com/andriy-lunin/profil/spieler/404839,3.0,2020/21
Diego Altube,Goalkeeper,21,€500k,Real Madrid,['Spain'],https://www.transfermarkt.com/diego-altube/profil/spieler/549069,0.5,2020/21
Luis López,Goalkeeper,20,€150k,Real Madrid,['Spain'],https://www.transfermarkt.com/luis-lopez/profil/spieler/623525,0.15,2020/21
Lucas Cañizares,Goalkeeper,19,-,Real Madrid,['Spain'],https://www.transfermarkt.com/lucas-canizares/profil/spieler/568154,0.0,2020/21
Raphaël Varane,Centre-Back,28,€70.00m,Real Madrid,"['France', 'Martinique']",https://www.transfermarkt.com/raphael-varane/profil/spieler/164770,70.0,2020/21
Éder Militão,Centre-Back,23,€40.00m,Real Madrid,"['Brazil', 'Spain']",https://www.transfermarkt.com/eder-militao/profil/spieler/401530,40.0,2020/21
Sergio Ramos,Centre-Back,35,€10.00m,Real Madrid,['Spain'],https://www.transfermarkt.com/sergio-ramos/profil/spieler/25557,10.0,2020/21
Nacho Fernández,Centre-Back,31,€10.00m,Real Madrid,['Spain'],https://www.transfermarkt.com/nacho-fernandez/profil/spieler/58884,10.0,2020/21
Víctor Chust,Centre-Back,21,€400k,Real Madrid,['Spain'],https://www.transfermarkt.com/victor-chust/profil/spieler/495625,0.4,2020/21
Pablo Ramón,Centre-Back,20,€50k,Real Madrid,['Spain'],https://www.transfermarkt.com/pablo-ramon/profil/spieler/629511,0.05,2020/21
Ferland Mendy,Left-Back,26,€50.00m,Real Madrid,"['France', 'Senegal']",https://www.transfermarkt.com/ferland-mendy/profil/spieler/291417,50.0,2020/21
Marcelo,Left-Back,33,€7.50m,Real Madrid,"['Brazil', 'Spain']",https://www.transfermarkt.com/marcelo/profil/spieler/44501,7.5,2020/21
Miguel Gutiérrez,Left-Back,19,€5.00m,Real Madrid,['Spain'],https://www.transfermarkt.com/miguel-gutierrez/profil/spieler/525299,5.0,2020/21
Daniel Carvajal,Right-Back,29,€30.00m,Real Madrid,['Spain'],https://www.transfermarkt.com/daniel-carvajal/profil/spieler/138927,30.0,2020/21
Lucas Vázquez,Right-Back,29,€15.00m,Real Madrid,['Spain'],https://www.transfermarkt.com/lucas-vazquez/profil/spieler/221316,15.0,2020/21
Álvaro Odriozola,Right-Back,25,€10.00m,Real Madrid,['Spain'],https://www.transfermarkt.com/alvaro-odriozola/profil/spieler/280730,10.0,2020/21
Marvin Park,Right-Back,20,€500k,Real Madrid,['Spain'],https://www.transfermarkt.com/marvin-park/profil/spieler/603940,0.5,2020/21
Sergio Santos,Right-Back,20,€200k,Real Madrid,['Spain'],https://www.transfermarkt.com/sergio-santos/profil/spieler/537759,0.2,2020/21
Casemiro,Defensive Midfield,29,€70.00m,Real Madrid,"['Brazil', 'Spain']",https://www.transfermarkt.com/casemiro/profil/spieler/16306,70.0,2020/21
Antonio Blanco,Defensive Midfield,20,€5.00m,Real Madrid,['Spain'],https://www.transfermarkt.com/antonio-blanco/profil/spieler/495621,5.0,2020/21
Federico Valverde,Central Midfield,22,€65.00m,Real Madrid,"['Uruguay', 'Spain']",https://www.transfermarkt.com/federico-valverde/profil/spieler/369081,65.0,2020/21
Toni Kroos,Central Midfield,31,€40.00m,Real Madrid,['Germany'],https://www.transfermarkt.com/toni-kroos/profil/spieler/31909,40.0,2020/21
Luka Modrić,Central Midfield,35,€10.00m,Real Madrid,['Croatia'],https://www.transfermarkt.com/luka-modric/profil/spieler/27992,10.0,2020/21
Martin Ødegaard,Attacking Midfield,22,€40.00m,Real Madrid,['Norway'],https://www.transfermarkt.com/martin-odegaard/profil/spieler/316264,40.0,2020/21
Marco Asensio,Attacking Midfield,25,€35.00m,Real Madrid,"['Spain', 'Netherlands']",https://www.transfermarkt.com/marco-asensio/profil/spieler/296622,35.0,2020/21
Isco,Attacking Midfield,29,€18.00m,Real Madrid,['Spain'],https://www.transfermarkt.com/isco/profil/spieler/85288,18.0,2020/21
